Article title,Authors,Journal title,Volume,Issue,Pages,Volume year,DOI,Published online date,URL,Article views (as of 18-Jun-2025),Crossref citations (as of 18-Jun-2025)
Towards a territorial definition of a circular economy: exploring the role of territorial factors in closed-loop systems,"Andrea M Bassi, Marco Bianchi, Georg Pallaske, Carlos Tapia",European Planning Studies,29,8,p1438 - p1457,2021,10.1080/09654313.2020.1867511,07-Jan-2021,https://doi.org/10.1080/09654313.2020.1867511,7746.0,55.0
A comparative analysis of the circular economy performances for European Union countries,"Gökçe Candan, Merve Cengiz Toklu",International Journal of Sustainable Development & World Ecology,29,7,p653 - p664,2022,10.1080/13504509.2022.2084794,06-Jun-2022,https://doi.org/10.1080/13504509.2022.2084794,1214.0,11.0
The development relationship between circular economy and advanced digital technology: based on an innovative literature review method,"Yang Du, Jun Xu, Xiao Yuan",Environmental Technology Reviews,13,1,p614 - p638,2024,10.1080/21622515.2024.2406988,28-Oct-2024,https://doi.org/10.1080/21622515.2024.2406988,240.0,4.0
Eco-innovations towards circular economy: evidence from case studies of collective methanization in France,"Danielle Galliano, Amélie Gonçalves, Pierre Triboulet",European Planning Studies,30,7,p1230 - p1250,2022,10.1080/09654313.2021.1902947,21-Mar-2021,https://doi.org/10.1080/09654313.2021.1902947,489.0,16.0
Conceptualizing core aspects of circular economy in soil: A critical review and analysis,"Mauricio R Cherubin, Damien J Field, Budiman Minasny, Chukwudi Nwaogu",Critical Reviews in Environmental Science and Technology,55,11,p805 - p835,2025,10.1080/10643389.2025.2454689,26-Jan-2025,https://doi.org/10.1080/10643389.2025.2454689,351.0,0.0
6. Policy recommendations for facilitating an urban and regional circular economy,"Marcin Dąbrowski, Joanna Williams, Ellen van Bueren, Karel van den Berghe",Regional Studies Policy Impact Books,6,1,p99 - p108,2024,10.1080/2578711x.2024.2418236,17-Dec-2024,https://doi.org/10.1080/2578711x.2024.2418236,256.0,1.0
Sustainable Housing in a Circular Economy (1st edition),Yovita Aryani,Housing and Society,,,p1 - p3,5187,10.1080/08882746.2025.2461135,03-Feb-2025,https://doi.org/10.1080/08882746.2025.2461135,55.0,0.0
Making the circular economy online: a hyperlink analysis of the articulation of nutrient recycling in Finland,"Niko Humalisto, Helena Valve, Maria Åkerman",Environmental Politics,30,5,p833 - p853,2021,10.1080/09644016.2020.1817291,06-Sep-2020,https://doi.org/10.1080/09644016.2020.1817291,557.0,9.0
Circular economy in supply chain management: a framework for database tool development to enhance sustainability,"Petri Helo, Bening Mayanti",International Journal of Environmental Studies,81,4,p1962 - p1979,2024,10.1080/00207233.2024.2350757,08-May-2024,https://doi.org/10.1080/00207233.2024.2350757,2172.0,1.0
When hope messages become the discursive norm: how repertoires of hope shape communicative capacity in conversations on the circular economy,"Hanna Bergeå, Lars Hallgren, Malte B Rödl, Therese Åhlvik",Journal of Environmental Planning and Management,67,9,p2017 - p2034,2024,10.1080/09640568.2023.2270144,26-Oct-2023,https://doi.org/10.1080/09640568.2023.2270144,878.0,4.0
